text;favorited;replyToSN;createdDate;createdTime;truncated;replyToSID;id;replyToUID;statusSource;screenName;retweetCount;retweeted;longitude;latitude
RT @JonasWorldFeed: Play Ping Pong with Joe. Take a tour of the stage with Nick. Have coffee with Kevin. Charity auction: https://t.co/VTkK?;FALSE;NA;8/9/2013;02:43;FALSE;NA;365664;NA;web;JoeJonasVA;6;FALSE;NA;NA
@HeatherWhaley I was about 2 joke it takes 2 hands to hold hot coffee...then I read headline! #Don'tDrinkNShoot;FALSE;HeatherWhaley;8/9/2013;02:42;FALSE;365647;365664;26035764;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";AnnaDuleep;0;FALSE;NA;NA
RT @MoveTheSticks: Charlie Whitehurst looks like he should be working at a coffee shop in Portland or hosting a renovation show on HGTV.;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>";mpr4437;42;FALSE;NA;NA
Coffee always makes everything better.;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;web;sharkshukri;0;FALSE;NA;NA
RT @AdelaideReview: Food For Thought: @Annabelleats shares a delicious Venison and Porcini Mushroom Pie Recipe. http://t.co/N8O7vqFKWN http?;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";thepaulbaker;1;FALSE;NA;NA
"RT @LittleMelss: lmfao!!!@bryanlaca: nahhh Melanie u is fa sho like an ummm a Coffee table ;) ) yeeeee lmaoo";FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;web;bryanlaca;1;FALSE;NA;NA
I wonder if Christian Colon will get a cup of coffee once the rosters expand to 40 man in September. Really nothing to lose by doing so.;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume?for?Android</a>";Shauncore;0;FALSE;NA;NA
Shouldn't have drank coffee I'm jittery as fuck.;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";DylanBaur;0;FALSE;NA;NA
#good_morning #chocolate #morning #coffee #floral #eid #nutella #waffles #crepe #jeddah #ksa #dubai #q8 http://t.co/Em61Iopri5;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>";LadyMonyAna1;0;FALSE;NA;NA
@kungfupussy You might need to do a bulk shipment to Melbourne! @JustBeer_NoBull @brandnewblues;FALSE;kungfupussy;8/9/2013;02:42;FALSE;365664;365664;19478601;"<a href=""http://janetter.net/"" rel=""nofollow"">Janetter for Mac</a>";Gridlock_Coffee;0;FALSE;NA;NA
Gold Coast JCC Friday News features profile on new coffee shop in Southport that's embracing the area's heritage: http://t.co/Na32boM2bO;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;web;_GCJCC;0;FALSE;NA;NA
Sometimes I start dancing on my coffee table because I can.;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Rileydreams;0;FALSE;NA;NA
"RT @Leslieks: .@Starbucks I have a morning free tomorrow &amp; was going to have coffee w/friends, but not until you get some #Gunsense! #momsd?";FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>";TweetJohnLane;9;FALSE;NA;NA
Starbucks Coffee is the best!!! #confessyourunpopularopinion;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";RedBone_Barbie5;0;FALSE;NA;NA
RT @TheMindBlowing: Fat Burning Foods: Grapefruit. Watermelon. Berries. Hot Peppers. Celery. Greek Yogurt. Eggs. Fish. Green Tea. Coffee. ?;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";RLauren88;926;FALSE;NA;NA
"Witnessed a girl with a pet bird pooping on her shoulder &amp; a girl sharing ice cream with her dog at the same coffee shop. Both didn't care.";FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";MattyTheBolts;0;FALSE;NA;NA
My biological watch thinks its 5:43 PM. I want Arabic coffee and cake.;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry?</a>";AmaniiAbdulla;0;FALSE;NA;NA
I wanna lay on the couch, under some blankets, with some hot coffee, and watch old movies.;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";AliPlayzGuitar;0;FALSE;NA;NA
RT @dreyess1: Do they have rehab for coffee addicts?;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";ashplante14;1;FALSE;NA;NA
Finally! Home. There is no food or beer in the fridge. Also there is no coffee, tomorrow will be rough. Ordered pizza. Rat time!!!;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>";kscottz;0;FALSE;NA;NA
"just drank an entire venti coffee from Starbucks &amp; still think I'm gonna fall asleep #wtf";FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";destinyspooner;0;FALSE;NA;NA
RT @UberFacts: There are more than 1,000 chemicals in a single cup of coffee. Of these, only 26 have been tested and half caused cancer in ?;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";MamaArch;1600;FALSE;NA;NA
My family called me weird cause I drink coffee with a straw. I just think they are mad cause they didn't think of it first;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Hiya_Mariah;0;FALSE;NA;NA
I drank all that coffee for nothing.;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;web;gingi_snap;0;FALSE;NA;NA
?@kayleesmith95: i want coffee if i had a car that is all my car would be used for? SAME HERE;FALSE;kayleesmith95;8/9/2013;02:42;FALSE;365663;365664;332635904;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";micheeliinna;0;FALSE;NA;NA
RT @marisaaaa23: ?@sheodd: Iced coffee in the mornings is soo amazing like it's my everyday breakfast pretty bad habit I'm building? that w?;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";sheodd;1;FALSE;NA;NA
RT @skylarking24: Coffee ice cream is the best thing ever ok;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";HannahBrumback;2;FALSE;NA;NA
I burned my tongue drinking coffee this morning;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";A_luxurycar;0;FALSE;NA;NA
RT @littledaisy420: iced coffee ilysm;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";oglivelavalakin;2;FALSE;NA;NA
Its strong connection to life. bittersweet RT @ikanatassa: coffee enthusiasts di timeline gue, boleh nanyakah? ini buat riset. why do you li;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>";niyaayu;0;FALSE;NA;NA
I don't drink coffee, i drink tea my dear..;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""https://chrome.google.com/extensions/detail/encaiiljifbdbjlphpgpiimidegddhic"" rel=""nofollow"">Silver Bird</a>";TheOnlyBenedict;0;FALSE;NA;NA
I'm at Coffee Dominion http://t.co/0nseOXJ0K3;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>";Mattic6;0;FALSE;NA;NA
@iowashoeguy I think Jaye could help you with the coffee #Hawkeyefootball;FALSE;iowashoeguy;8/9/2013;02:42;FALSE;365650;365664;233773878;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";cubfan64;0;FALSE;NA;NA
RT @TLW3: Coffee cup in hand, gun in holster http://t.co/rmoBUQrcnZ #gunfail @nra;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>";Kristen_Wright5;1;FALSE;NA;NA
RT @UberFacts: There are more than 1,000 chemicals in a single cup of coffee. Of these, only 26 have been tested and half caused cancer in ?;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";krysmeoww;1600;FALSE;NA;NA
"@krizzle_3 yesssss omg. Caramel almond iced coffee milk &amp;' one sugar";FALSE;krizzle_3;8/9/2013;02:42;FALSE;365664;365664;239123024;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";jennaa_leaaa;0;FALSE;NA;NA
Might make some coffee right now;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";christianpalos;0;FALSE;NA;NA
@katie_silliman @IntimacyFacts LMAO!!! What about avocados, spinach, coffee and tea? Those are also on my daily consumption list!! :-);FALSE;katie_silliman;8/9/2013;02:42;FALSE;365654;365664;396244905;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";JoeCoolSilliman;0;FALSE;NA;NA
RT @SarahWCaron: Apparently tomorrow is Starbucks Appreciation Day for gun enthusiasts where they go, sip coffee and bring guns. I know whe?;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Bboggia2465;14;FALSE;NA;NA
Coffee with foam: http://t.co/34iGwYMKhb via @YouTube;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>";KDL85;0;FALSE;NA;NA
@nitecoder @mattallen should have got an extra coffee to spill on it so no one else could read it. Waste of good coffee tho? maybe a chai?;FALSE;nitecoder;8/9/2013;02:42;FALSE;365664;365664;17034483;"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>";warren_s;0;FALSE;NA;NA
RT @IamBeyer: I'm ready for pumping spice beer/coffee, apple orchards, American horror story sea3, walking dead season sea4, college footba?;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";chris_gonzales_;2;FALSE;NA;NA
i live for coffee flavored ice cream;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";isaaclxhey;0;FALSE;NA;NA
@sarakalke I hope that we all can keep this movement going..whether it be w/blizzards, coffee, groceries whatever... #PayItForward;FALSE;rnrmusicgurl;8/9/2013;02:42;FALSE;365663;365664;885816266;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";rnrmusicgurl;0;FALSE;NA;NA
@JasonT @natasha_lh I'm much closer to your brother's pronunciation. I pronounce the O the same way I do in the word coffee You might too;FALSE;JasonT;8/9/2013;02:42;FALSE;365663;365664;990711;web;DreamtimeDrinne;0;FALSE;NA;NA
I don't even like coffee;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Molli_Lynn;0;FALSE;NA;NA
?@tommymaloy: coffee coolata's are the shit?;FALSE;tommymaloy;8/9/2013;02:42;FALSE;365664;365664;346289745;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";_ashley_marie_x;0;FALSE;NA;NA
I JUST SPILLED COFFEE DOWN MY SHIRT;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;web;pavingnewpaths;0;FALSE;NA;NA
I think I need another coffee #StarBucks;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;web;platinumclubvan;0;FALSE;NA;NA
I dont wanna know how much iced coffee I drink a week;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";heyderjess;0;FALSE;NA;NA
"@thebobbieoliver every morning i stand eastward &amp; chant that 3 times 'never read any self-help books' then coffee #bourbon chaser.";FALSE;thebobbieoliver;8/9/2013;02:42;FALSE;365654;365664;256677376;web;6XBytes;0;FALSE;NA;NA
"@JaleneVegter: All I want right now is for someone to eat chocolate chips &amp; drink coffee &amp; go star gazing with me. #simpleasthat";FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Keyz_Player96;0;FALSE;NA;NA
@PIRFCT1 hahahah I don't get much coffee from there but yes they ask so many questions but still screw it up hahaha;FALSE;PIRFCT1;8/9/2013;02:42;FALSE;365664;365664;423016602;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Baseball4Lifee6;0;FALSE;NA;NA
#AlwayzRemember Neva let a nigga smack your tray and spill your coffee!!;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>";Alia_Dara;0;FALSE;NA;NA
RT @farleftcoast: Her: I met a guy online. We?re meeting for coffee. Me: Does he have a nice dick? Her: I DON?T KNOW YET! Me: I don?t un?;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";thisizAsh;37;FALSE;NA;NA
Fun fact: roast your own coffee bean at home using a popcorn machine! @YelpAdelaide #coffeecrawl;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";gggnef;0;FALSE;NA;NA
@Jer_KIngD *gives u coffee*;FALSE;Jer_KIngD;8/9/2013;02:42;FALSE;365664;365664;321689855;"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry?</a>";eBahadurGT;0;FALSE;NA;NA
do you think the old dude next to me would be willing to pour some of his coffee into mine coz it got cold;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";napquest;0;FALSE;NA;NA
@Tifferz1991 good cause I already gave up sweet tea for green tea and coffee for hot tea and honey.;FALSE;Tifferz1991;8/9/2013;02:42;FALSE;365664;365664;85874933;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Greta_Paige;0;FALSE;NA;NA
A cup of coffee sin azucar, ag;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry?</a>";Roox_21;0;FALSE;NA;NA
"Just for you #abdul &amp; The Coffee Theory";FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry?</a>";fii_lutfi;0;FALSE;NA;NA
RT @pisssyprincess: Like I'm sorry food, but you've been replaced with better things, like coffee and alcohol.;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Its_Ray_Ray1;1;FALSE;NA;NA
@klove_01 Haha it sucks until you get used to it, then it ain't bad. Down a cup or two of coffee and then it's off to work for 12-14 hours;FALSE;klove_01;8/9/2013;02:42;FALSE;365664;365664;36170073;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";AnduhrewBush05;0;FALSE;NA;NA
@billshortenmp I think they have good coffee there;FALSE;billshortenmp;8/9/2013;02:42;FALSE;365651;365664;137198586;web;jcgrimes3;0;FALSE;NA;NA
@rosiescala no more coffee for you;FALSE;rosiescala;8/9/2013;02:42;FALSE;365663;365664;251625922;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";MandyTorresss;0;FALSE;NA;NA
If I were to go #Starbucks right now, I'd get a Venti Iced Vanilla coffee, w/ 2 pumps of white mocha, breve, and Extra Extra caramel drizzle;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";meganmansor;0;FALSE;NA;NA
@DanielleATucker do u have any suggestions on what to put in coffee instead of cream? :-) like maybe almond milk? And honey?;FALSE;DanielleATucker;8/9/2013;02:42;FALSE;365646;365664;161084411;"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>";SweetiePieSyd;0;FALSE;NA;NA
RT @JonasWorldFeed: Play Ping Pong with Joe. Take a tour of the stage with Nick. Have coffee with Kevin. Charity auction: https://t.co/VTkK?;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";YhosdalyL;6;FALSE;NA;NA
@trishrothgeb @colecoffee @Timothybhill @LorenzoPerkins I'm creating my own Mighty Fine scale for coffee: goes to 110.;FALSE;trishrothgeb;8/9/2013;02:42;FALSE;365664;365664;16713957;web;HIflyer;0;FALSE;NA;NA
you me at six on the cover of Kerrang and iced coffee. I am very content. http://t.co/IuH05pTRuI;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>";shevmigoats;0;FALSE;NA;NA
Jared got gum on his coffee lid and Jensen was clearly 1000% done. But like a good big brother he gave him his ow http://t.co/QQH012ZYVw;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitpic.com"" rel=""nofollow"">Twitpic</a>";WeLoveSPN;1;FALSE;NA;NA
Have to be up early tomorrow, and yet I just finished a large coffee. Avoid me at all costs tmrw;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>";Shamrock_NY;0;FALSE;NA;NA
Someone come to the ridges hotel and chill ! There is a coffee shop here aswell ! Please;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";SketcheeeN;0;FALSE;NA;NA
@LaurenKMcKellar HAHA never! Takes much more for death plots. Denying me coffee? Yes. Edits that will make my book great? *bakes cookies*;FALSE;LaurenKMcKellar;8/9/2013;02:42;FALSE;365663;365664;408751985;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";elledoo;0;FALSE;NA;NA
RT @lesbolife: wake up naked drinking coffee, making plans to change the world while the world was changing us;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";radicalann_;22;FALSE;NA;NA
I probably shouldn't be drinking coffee this late but oh well. Ill just chug a bottle of zzzquil.;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";xoxohail;0;FALSE;NA;NA
There are more than 1,000 chemicals in a single cup of coffee. Of these, only 26 have been tested and half caused cancer in rats.;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";vir1502;0;FALSE;NA;NA
We went to town and ate a half decent baked cheese cake. I think we might have a new place for coffee? http://t.co/UfZCfcpSB3;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>";WholeLarderLove;0;FALSE;NA;NA
Coffee;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry?</a>";katzseremane;0;FALSE;NA;NA
"Double apple shisha &amp; coffee.. What else you need for this night?";FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Ali_Assi28;0;FALSE;NA;NA
I made coffee.;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;web;CameronAtrium;0;FALSE;NA;NA
it's Pepsi for me... @bombaytweeting: I love you less than coffee, which is more than enough.;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";musicaddict75;0;FALSE;NA;NA
@chandradawn1 COFFEE!!! COFFEE COFFEE!!! COFFEE!;FALSE;chandradawn1;8/9/2013;02:42;FALSE;365663;365664;373161911;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";JonsCrazyTweets;0;FALSE;NA;NA
Coffee and my bible good combo morning twitter;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;web;DamionWalter1;0;FALSE;NA;NA
I need money so I can buy candles, coffee, gas, black n milds, and tattoos. #Seriously;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;web;mir_anderson;0;FALSE;NA;NA
Lovely visual taxonomy of early coffee-making devices, 1922 http://t.co/fZrUuw2y6J;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>";brainpicker;0;FALSE;NA;NA
RT @sweetestMY: It's way too hot to be outside shooting for all day I'm doing it anyway..thank you.. my best friend, iced coffee couldn't d?;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;web;EvitaSong_287;310;FALSE;NA;NA
RT @BullardBella: ?@locklear_noah: I could drink some coffee but I don't wanna go make it?;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";xoxo_caitlynn;2;FALSE;NA;NA
Oh homemade creamy coffee. I could sip your creamy delight all day long.;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;web;rifianti;0;FALSE;NA;NA
RT @Mayflower04: She only drinks coffee at midnight. When the moment is not right.;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";samanthaboydddd;2;FALSE;NA;NA
bout to get some coffee cause my damn eyes closing and an no where near done studying.;FALSE;NA;8/9/2013;02:42;FALSE;NA;365664;NA;web;trey_mason1;0;FALSE;NA;NA
RT @mindelixir: RT @fastnasty: I'm drinking 2 pots of coffee and staying up all night to finish this @mindelixir remix so I can play it out?;FALSE;NA;8/9/2013;02:41;FALSE;NA;365664;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";DJSVED;1;FALSE;NA;NA
@NealChug no I didn't get one yet. You know that I don't SB that much hehe. I palpitate with too much coffee. Huhu. Wow, you na!;FALSE;NealChug;8/9/2013;02:41;FALSE;365663;365664;79172507;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";ChrisChug;0;FALSE;NA;NA
